code_qp,lib_qp
QN05993N,Quartier prioritaire d'Aulnoye-Aymeries Multisites
QN05994I,Quartier prioritaire de Hornaing
QN06001M,Les Hauts de Creil
QN06002M,Les Martinets
QN06003I,Les Côteaux
QN06004M,Les Rochers - L'Obier
QN06005M,Bellevue - Belle Visée
QN06006I,Vivier Corax
QN06007M,Clos des Roses
QN06008I,La Victoire
QN06009I,Saint Jean
QN06010I,Saint Lucien
QN06011M,Argentine
QN06012I,Les Terriers
QN06013I,La Nacre - Saint Exupéry
QN06014M,Les Sables
QN06015I,Kennedy
QN06016M,Beauséjour
QN06017M,Mont Saint Siméon
QN06018N,Montupet
QN06019N,Jaurès - Gournay
QN06101M,Les Provinces
QN06102M,Saint Michel - Vallée d'Auge
QN06103M,Saint Michel
QN06104M,Saint-Sauveur - Pont Féron
QN06105M,La Madeleine - Maréchal Leclerc
QN06106M,Perseigne
QN06107M,Courteille
QN06201M,Quartier Du Mieux-Etre
QN06202M,Camus
QN06203M,Plantigeons - Germinal - République
QN06204M,Centre Ville
QN06205M,Quartier Des Cité 5 - Cité De Marles - Cité Du Rond-Point
QN06206M,Quartier Rimbert
QN06207M,Quartier Du Regain
QN06208M,Quartier Du Mont Liébaut
QN06209M,Quartier 3 ilôts
QN06210M,Renaissance
QN06211M,Le Centre
QN06212M,Terrasses Basly
QN06213M,Quartier Coteau Du Stade Parc-Cité 34
QN06214M,Quartier Des Cités 6 Et 30
QN06215M,Quartier Provinces - Longues Trinques
QN06216M,Quartier Saint-Elie - Fosse 13
QN06217M,Le Haut D'Houdain
QN06218M,Terre-Noeve
QN06219M,République - Cité 4
QN06220M,Cité Des Brebis
QN06221M,Cité Du Transvaal - Centre
QN06222M,Cité 5 - Cité 11
QN06223M,Cité Bellevue
QN06224M,Cité 12-14
QN06225M,Grande Résidence
QN06226M,Cité 2
QN06227M,Sellier Cité 4
QN06228M,Calonne - Marichelles - Vent De Bise
QN06229M,Les Hauts De Liévin - Résidence Des Provinces - Cités 9-9bis
QN06230M,Blum - Salengro - 109
QN06231M,3 Cités
QN06232M,Cité 10
QN06233M,Les Blanches Laines Fosse 11 12 13
QN06234M,Quartier du 3/15
QN06235M,Cité Des Taberneaux
QN06236M,Saint-Exupéry - Léon Blum
QN06237M,Quai Du commerce - Saint Sépulcre
QN06238M,Du Village Au Moulin
QN06239M,Rotois - Saint Roch
QN06240M,Cornuault
QN06241M,Macé - Darcy
QN06242M,Ponchelet - Kennedy
QN06243M,La Plaine Du 7
QN06244M,Zac Des Deux Villes
QN06245M,Quartier Du Maroc - La Canche
QN06246M,Nouméa
QN06247M,Languedoc - Cité 10
QN06248M,Quartier De La Haute Voie
QN06249M,Damrémont
QN06250M,Centre Ville
QN06251M,Chemin Vert - Beaurepaire - Malborough
QN06252M,Des résidences Sud du Boulonnais
QN06253M,Fort Nieulay - Cailloux - Saint-Pierre
QN06254M,Beau Marais
QN06255M,Ville Centre
QN06256M,Centre Historique
QN06257M,Quartier De La Renaissance
QN06258M,Quatre As
QN06259M,Quartier Bonnettes - Saint Pol - Baudimont
QN06260M,Quartier Blancs Monts - Hochettes
QN06261M,Saint Michel Goudemand
QN06262M,Cheminots Jean Jaurès Moulin Hacart
QN06263M,Quartier Chanteclair - Cévennes
QN06264N,Les Vérotières
QN06301M,Saint-Jacques
QN06302I,Quartiers Nord
QN06303I,La Gauthière
QN06304I,Fontaine Du Bac
QN06305M,Cournon D'Auvergne
QN06306M,Thiers
QN06307N,Centre
QN06401I,Maubec - Citadelle
QN06402M,Hauts de Sainte-Croix - Mounédé
QN06403M,Saragosse
QN06404M,Ousse des Bois - Berlioz - Le Laü
QN06501M,Solazur
QN06502M,Laubadère
QN06503M,Ormeau/Bel Air - Mouysset
QN06504M,Ophite
QN06601M,Centre Ville
QN06602I,Quartier Saint Assiscle
QN06603I,Quartier Gare
QN06604I,Quartier Bas-Vernet Ancien Zus
QN06605M,Diagonale Du Haut - Moyen-Vernet
QN06606I,Rois De Majorque
QN06607I,Bas-Vernet Nouveau QPV
QN06608I,Quartier Centre Ancien
QN06609M,Quartier Nouveau Logis
QN06610I,Quartier Champs De Mars
QN06701M,Quartier Liberté
QN06702I,Les Pins - Musau
QN06703I,Quartiers Est
QN06704I,Quartiers Ouest
QN06705I,Guirbaden
QN06706I,Libermann
QN06707I,Marais
QN06708I,Hohberg
QN06709M,Molkenbronn
QN06710I,Hautepierre
QN06711M,Koenigshoffen-Est
QN06712I,Cronenbourg
QN06713I,Elsau
QN06714I,Laiterie
QN06715M,Neuhof - Meinau
QN06716I,Cité De L'Ill
